cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      solids-vof,solids-x-velocity,solids-y-velocity,  air-x-velocity,  air-y-velocity,           dp-dx,           dp-dy,           udm-x,           udm-y
       631, 5.050000000E-01, 7.850000000E-01, 5.000000000E-03, 1.144224645E-03,-1.238949073E-02, 1.583171189E-01, 2.618907155E+00, 3.518860586E+00,-5.025442085E+01, 2.274624599E+03, 4.568284189E+01, 5.834354562E+01
       632, 4.950000000E-01, 7.850000000E-01, 5.000000000E-03, 1.135296889E-03,-4.628148528E-02, 7.179978542E-02, 2.724965299E+00, 3.412197120E+00,-8.619875964E+01, 2.192747917E+03, 4.815905130E+01, 5.804981625E+01
       633, 4.850000000E-01, 7.850000000E-01, 5.000000000E-03, 1.125457706E-03,-6.198032960E-02,-1.606854929E-02, 2.919676812E+00, 3.264724136E+00,-1.585013233E+02, 2.099707002E+03, 5.194317497E+01, 5.715438777E+01
       634, 4.750000000E-01, 7.850000000E-01, 5.000000000E-03, 1.129570005E-03,-5.263898242E-02,-1.261084830E-01, 3.124372784E+00, 2.987174346E+00,-2.165348843E+02, 2.130808819E+03, 5.564755952E+01, 5.453130309E+01
       635, 4.650000000E-01, 7.850000000E-01, 5.000000000E-03, 1.175292285E-03,-1.168799198E-02,-2.882753674E-01, 3.210229619E+00, 2.514031912E+00,-2.633489291E+02, 2.118459298E+03, 5.747322638E+01, 4.998813132E+01
       636, 4.550000000E-01, 7.850000000E-01, 5.000000000E-03, 1.343589150E-03, 6.498887887E-02,-5.604152495E-01, 3.071595803E+00, 1.634573019E+00,-2.622730560E+02, 2.266294374E+03, 5.711503863E+01, 4.169711670E+01
       637, 5.650000000E-01, 7.950000000E-01, 5.000000000E-03, 2.544355085E-04, 2.674389694E-01, 8.607452923E-01, 3.565567142E+00, 4.175864746E+00,-2.619360747E+02, 2.453987971E+03, 1.333787368E+01, 1.340658767E+01
       638, 5.550000000E-01, 7.950000000E-01, 5.000000000E-03, 5.560004835E-04, 2.190747532E-01, 7.319793920E-01, 3.216700749E+00, 3.942192189E+00,-1.824858698E+02, 2.471150852E+03, 2.564088678E+01, 2.745929712E+01
       639, 5.450000000E-01, 7.950000000E-01, 5.000000000E-03, 9.100056740E-04, 1.617203310E-01, 6.035281711E-01, 2.912449548E+00, 3.784208462E+00,-9.968476335E+01, 2.450452524E+03, 3.766686168E+01, 4.355435780E+01
       640, 5.350000000E-01, 7.950000000E-01, 5.000000000E-03, 1.124282649E-03, 9.869971965E-02, 4.777370230E-01, 2.677035937E+00, 3.670668499E+00,-5.684751736E+01, 2.409343520E+03, 4.308729371E+01, 5.335796602E+01
       641, 5.250000000E-01, 7.950000000E-01, 5.000000000E-03, 1.193842484E-03, 3.362092748E-02, 3.679328255E-01, 2.529087607E+00, 3.611412129E+00,-6.680180307E+00, 2.378700864E+03, 4.422375037E+01, 5.747975726E+01
       642, 5.150000000E-01, 7.950000000E-01, 5.000000000E-03, 1.173298964E-03,-1.718574317E-02, 2.677213444E-01, 2.489861123E+00, 3.602519355E+00, 6.300260634E-01, 2.325208960E+03, 4.410481030E+01, 5.866688639E+01
       643, 5.050000000E-01, 7.950000000E-01, 5.000000000E-03, 1.121735026E-03,-4.707448428E-02, 1.723926755E-01, 2.576320051E+00, 3.606318837E+00,-1.590181975E+01, 2.238529887E+03, 4.494017584E+01, 5.882502362E+01
       644, 4.950000000E-01, 7.950000000E-01, 5.000000000E-03, 1.046353500E-03,-5.402752168E-02, 7.883668975E-02, 2.816256022E+00, 3.619963464E+00,-5.146271111E+01, 2.169133683E+03, 4.717044201E+01, 5.819512694E+01
       645, 4.850000000E-01, 7.950000000E-01, 5.000000000E-03, 9.719025722E-04,-3.662210357E-02,-2.786606993E-02, 3.140450302E+00, 3.594831664E+00,-6.155320035E+01, 2.025151790E+03, 4.994595272E+01, 5.695151595E+01
       646, 4.750000000E-01, 7.950000000E-01, 5.000000000E-03, 9.605433151E-04, 2.225884489E-02,-1.815979289E-01, 3.319318067E+00, 3.157621908E+00,-1.538055649E+02, 2.067099549E+03, 5.050605749E+01, 5.115189559E+01
       647, 4.650000000E-01, 7.950000000E-01, 5.000000000E-03, 1.055025647E-03, 1.641242373E-01,-4.424769054E-01, 3.269141935E+00, 2.361203394E+00,-1.211386188E+02, 2.088246810E+03, 4.917622418E+01, 4.440374399E+01
       648, 4.550000000E-01, 7.950000000E-01, 5.000000000E-03, 2.986458783E-03, 4.115372727E-01,-1.077371599E+00, 2.776604501E+00, 8.606006011E-01,-8.605467597E+01, 2.283419887E+03, 9.074878540E+01, 7.436094044E+01
       649, 5.750000000E-01, 7.950000000E-01, 5.000000000E-03, 1.257508738E-04, 3.191342492E-01, 9.943404688E-01, 3.927698529E+00, 4.482516204E+00,-3.517045088E+02, 2.418026188E+03, 7.488996262E+00, 7.239149151E+00
       650, 5.850000000E-01, 1.350000000E-01, 5.000000000E-03, 5.492782027E-01,-1.142484045E+00,-1.417018590E+00,-6.660622689E-01,-1.199560505E+00,-2.473055535E+04,-8.816116274E+03, 1.112378734E+04, 5.077344528E+03
       651, 5.750000000E-01, 1.450000000E-01, 5.000000000E-03, 5.462787662E-01,-1.227490227E+00,-1.228247817E+00,-9.133532740E-01,-9.924505677E-01,-1.494992081E+04,-8.756710058E+03, 6.779962154E+03, 5.089170206E+03
       652, 5.650000000E-01, 1.450000000E-01, 5.000000000E-03, 5.329844339E-01,-1.233120217E+00,-9.744454094E-01,-9.770841589E-01,-6.432785377E-01,-1.088554025E+04,-1.160930133E+04, 5.082254736E+03, 6.573583475E+03
       653, 5.650000000E-01, 1.550000000E-01, 5.000000000E-03, 5.373794188E-01,-1.267402868E+00,-9.723779746E-01,-1.082884727E+00,-6.395431086E-01,-8.035637000E+03,-1.202136450E+04, 3.712657391E+03, 6.696912399E+03
       654, 5.550000000E-01, 1.550000000E-01, 5.000000000E-03, 5.172109457E-01,-1.256315155E+00,-7.328786355E-01,-1.087920868E+00,-2.686633291E-01,-6.404833440E+03,-1.520118999E+04, 3.092301994E+03, 8.524599896E+03
       655, 5.550000000E-01, 1.650000000E-01, 5.000000000E-03, 5.274543958E-01,-1.251772009E+00,-7.180665959E-01,-1.212429222E+00,-2.485539473E-01,-1.630610394E+03,-1.697465492E+04, 7.687836406E+02, 9.174582578E+03
       656, 5.450000000E-01, 1.650000000E-01, 5.000000000E-03, 4.738934131E-01,-1.219403264E+00,-4.587993323E-01,-1.140647763E+00, 4.447528585E-01,-2.382367703E+03,-2.491786982E+04, 1.254690113E+03, 1.439490570E+04
       657, 5.550000000E-01, 1.750000000E-01, 5.000000000E-03, 5.165445987E-01,-1.201634621E+00,-7.073901870E-01,-1.341572454E+00,-2.082502030E-01, 5.349226149E+03,-1.663994277E+04,-2.584685858E+03, 9.219237115E+03
       658, 5.450000000E-01, 1.750000000E-01, 5.000000000E-03, 4.065144715E-01,-1.098937197E+00,-4.863094981E-01,-1.061934880E+00, 6.664208489E-01,-7.239153512E+02,-1.911273582E+04, 4.107684633E+02, 1.279663829E+04
       659, 5.350000000E-01, 1.750000000E-01, 5.000000000E-03, 2.900567805E-01,-1.074342575E+00,-6.674168457E-02,-4.470173932E-01, 2.302870834E+00,-6.375573373E+03,-2.106100827E+04, 4.424951874E+03, 1.671449141E+04
       660, 5.550000000E-01, 1.850000000E-01, 5.000000000E-03, 4.185856060E-01,-1.083096466E+00,-7.212368834E-01,-1.425527982E+00,-2.220281312E-01, 5.867014514E+03,-6.096735686E+03,-3.404943616E+03, 4.963847001E+03
       661, 5.450000000E-01, 1.850000000E-01, 5.000000000E-03, 1.596747730E-01,-9.372758626E-01,-6.236786083E-01,-7.955543170E-01, 8.822475812E-01,-4.158627604E+02,-1.426536682E+03, 3.084765841E+02, 3.277857046E+03
       662, 5.350000000E-01, 1.850000000E-01, 5.000000000E-03, 1.197838252E-01,-8.592870891E-01,-2.485085388E-01, 3.696008488E-01, 2.711267332E+00,-2.802187273E+03,-4.372984813E+03, 2.532698866E+03, 6.100003719E+03
       663, 5.250000000E-01, 1.850000000E-01, 5.000000000E-03, 1.125935861E-01,-9.594883212E-01, 7.068616085E-01, 1.174287302E+00, 5.615652231E+00,-6.250222304E+03,-9.831178589E+03, 5.281559541E+03, 1.215032624E+04
       664, 5.550000000E-01, 1.950000000E-01, 5.000000000E-03, 2.830627663E-01,-9.839152200E-01,-6.682750727E-01,-1.231297464E+00,-2.455506712E-01, 1.316835373E+03, 1.763533483E+02,-9.541320094E+02, 1.630411608E+03
       665, 5.450000000E-01, 1.950000000E-01, 5.000000000E-03, 5.507697367E-02,-8.873008066E-01,-5.911749746E-01,-6.629211784E-01, 1.421141744E+00,-1.531072104E+02, 1.001830288E+03, 1.469122180E+02, 1.317561290E+03
       666, 5.350000000E-01, 1.950000000E-01, 5.000000000E-03, 2.228267279E-02,-8.136621270E-01,-2.697037686E-01, 2.902677331E-01, 3.615348329E+00,-1.194116289E+02, 7.861082550E+02, 3.795155730E+02, 1.335626317E+03
       667, 5.250000000E-01, 1.950000000E-01, 5.000000000E-03, 5.451526420E-02,-8.898269318E-01, 8.869062410E-01, 1.052792754E+00, 5.566294281E+00,-1.826354675E+03,-1.488935400E+03, 1.977061140E+03, 4.762350716E+03
       668, 5.150000000E-01, 1.950000000E-01, 5.000000000E-03, 6.778707438E-02,-8.883341354E-01, 2.401846918E+00, 5.838601121E-01, 8.814299173E+00,-1.983297959E+03,-5.427338128E+03, 2.212883431E+03, 9.638680068E+03
       669, 6.250000000E-01, 6.050000000E-01, 5.000000000E-03, 2.052564823E-03, 2.555780530E-01, 5.361459748E-01, 7.057010588E-01, 2.426643631E+00,-5.110347986E+01, 2.298641117E+03, 9.561735311E+00, 4.015888537E+01
       670, 6.150000000E-01, 6.050000000E-01, 5.000000000E-03, 5.549627632E-04, 3.359320657E-01, 6.020421192E-01, 1.389819369E+00, 3.976146599E+00,-8.581774408E+01, 2.284265617E+03, 8.039816102E+00, 2.574011420E+01
       671, 6.250000000E-01, 5.000000000E-03, 5.000000000E-03, 1.930092989E-03, 7.531204194E-01, 1.957130788E+00, 6.040365014E+00, 6.569994124E+00,-9.472860126E+02, 2.058604501E+03, 2.033699328E+02, 1.774303590E+02
